#,Image Filename Suffix,Mega Evolution,Regional Form,Name,Type 1,Type 2,Generation
585,Summer,,,Deerling (Summer Form),Normal,Grass,5
585,Autumn,,,Deerling (Autumn Form),Normal,Grass,5
585,Winter,,,Deerling (Winter Form),Normal,Grass,5
586,Spring,,,Sawsbuck (Spring Form),Normal,Grass,5
586,Summer,,,Sawsbuck (Summer Form),Normal,Grass,5
586,Autumn,,,Sawsbuck (Autumn Form),Normal,Grass,5
586,Winter,,,Sawsbuck (Winter Form),Normal,Grass,5
587,,,,Emolga,Electric,Flying,5
588,,,,Karrablast,Bug,,5
589,,,,Escavalier,Bug,Steel,5
590,,,,Foongus,Grass,Poison,5
591,,,,Amoonguss,Grass,Poison,5
592,Male,,,Frillish,Water,Ghost,5
592,Female,,,Frillish,Water,Ghost,5
593,Male,,,Jellicent,Water,Ghost,5
593,Female,,,Jellicent,Water,Ghost,5
594,,,,Alomomola,Water,,5
595,,,,Joltik,Bug,Electric,5
596,,,,Galvantula,Bug,Electric,5
597,,,,Ferroseed,Grass,Steel,5
598,,,,Ferrothorn,Grass,Steel,5
599,,,,Klink,Steel,,5
600,,,,Klang,Steel,,5
601,,,,Klinklang,Steel,,5
602,,,,Tynamo,Electric,,5
603,,,,Eelektrik,Electric,,5
604,,,,Eelektross,Electric,,5
605,,,,Elgyem,Psychic,,5
606,,,,Beheeyem,Psychic,,5
607,,,,Litwick,Ghost,Fire,5
608,,,,Lampent,Ghost,Fire,5
609,,,,Chandelure,Ghost,Fire,5
610,,,,Axew,Dragon,,5
611,,,,Fraxure,Dragon,,5
612,,,,Haxorus,Dragon,,5
613,,,,Cubchoo,Ice,,5
614,,,,Beartic,Ice,,5
615,,,,Cryogonal,Ice,,5
616,,,,Shelmet,Bug,,5
617,,,,Accelgor,Bug,,5
618,,,,Stunfisk,Ground,Electric,5
619,,,,Mienfoo,Fighting,,5
620,,,,Mienshao,Fighting,,5
621,,,,Druddigon,Dragon,,5
622,,,,Golett,Ground,Ghost,5
623,,,,Golurk,Ground,Ghost,5
624,,,,Pawniard,Dark,Steel,5
625,,,,Bisharp,Dark,Steel,5
626,,,,Bouffalant,Normal,,5
627,,,,Rufflet,Normal,Flying,5
628,,,,Braviary,Normal,Flying,5
629,,,,Vullaby,Dark,Flying,5
630,,,,Mandibuzz,Dark,Flying,5
631,,,,Heatmor,Fire,,5
632,,,,Durant,Bug,Steel,5
633,,,,Deino,Dark,Dragon,5
634,,,,Zweilous,Dark,Dragon,5
635,,,,Hydreigon,Dark,Dragon,5
636,,,,Larvesta,Bug,Fire,5
637,,,,Volcarona,Bug,Fire,5
638,,,,Cobalion,Steel,Fighting,5
639,,,,Terrakion,Rock,Fighting,5
640,,,,Virizion,Grass,Fighting,5
641,Incarnate,,,Tornadus (Incarnate Forme),Flying,,5
641,Therian,,,Tornadus (Therian Forme),Flying,,5
642,Incarnate,,,Thundurus (Incarnate Forme),Electric,Flying,5
642,Therian,,,Thundurus (Therian Forme),Electric,Flying,5
643,,,,Reshiram,Dragon,Fire,5
644,,,,Zekrom,Dragon,Electric,5
645,Incarnate,,,Landorus (Incarnate Forme),Ground,Flying,5
645,Therian,,,Landorus (Therian Forme),Ground,Flying,5
646,,,,Kyurem,Dragon,Ice,5
646,Black,,,Black Kyurem,Dragon,Ice,5
646,White,,,White Kyurem,Dragon,Ice,5
647,Ordinary,,,Keldeo (Ordinary Forme),Water,Fighting,5
647,Resolute,,,Keldeo (Resolute Forme),Water,Fighting,5
648,Aria,,,Meloetta (Aria Forme),Normal,Psychic,5
648,Pirouette,,,Meloetta (Pirouette Forme),Normal,Fighting,5
649,,,,Genesect,Bug,Steel,5
650,,,,Chespin,Grass,,6
651,,,,Quilladin,Grass,,6
652,,,,Chesnaught,Grass,Fighting,6
653,,,,Fennekin,Fire,,6
654,,,,Braixen,Fire,,6
655,,,,Delphox,Fire,Psychic,6
656,,,,Froakie,Water,,6
657,,,,Frogadier,Water,,6
658,,,,Greninja,Water,Dark,6
659,,,,Bunnelby,Normal,,6
660,,,,Diggersby,Normal,Ground,6
661,,,,Fletchling,Normal,Flying,6
662,,,,Fletchinder,Fire,Flying,6
663,,,,Talonflame,Fire,Flying,6
664,,,,Scatterbug,Bug,,6
665,,,,Spewpa,Bug,,6
666,,,,Vivillon,Bug,Flying,6
667,,,,Litleo,Fire,Normal,6
668,Male,,,Pyroar,Fire,Normal,6
668,Female,,,Pyroar,Fire,Normal,6
669,,,,Flabébé,Fairy,,6
670,,,,Floette,Fairy,,6
671,,,,Florges,Fairy,,6
672,,,,Skiddo,Grass,,6
673,,,,Gogoat,Grass,,6
674,,,,Pancham,Fighting,,6
675,,,,Pangoro,Fighting,Dark,6
676,,,,Furfrou,Normal,,6
676,Heart,,,Furfrou,Normal,,6
676,Star,,,Furfrou,Normal,,6
676,Diamond,,,Furfrou,Normal,,6
677,,,,Espurr,Psychic,,6
678,Male,,,Meowstic,Psychic,,6
678,Female,,,Meowstic,Psychic,,6
679,,,,Honedge,Steel,Ghost,6
680,,,,Doublade,Steel,Ghost,6
681,Blade,,,Aegislash (Blade Forme),Steel,Ghost,6
681,Shield,,,Aegislash (Shield Forme),Steel,Ghost,6
682,,,,Spritzee,Fairy,,6
683,,,,Aromatisse,Fairy,,6
684,,,,Swirlix,Fairy,,6
685,,,,Slurpuff,Fairy,,6
686,,,,Inkay,Dark,Psychic,6
687,,,,Malamar,Dark,Psychic,6
688,,,,Binacle,Rock,Water,6
689,,,,Barbaracle,Rock,Water,6
690,,,,Skrelp,Poison,Water,6
691,,,,Dragalge,Poison,Dragon,6
692,,,,Clauncher,Water,,6
693,,,,Clawitzer,Water,,6
694,,,,Helioptile,Electric,Normal,6
695,,,,Heliolisk,Electric,Normal,6
696,,,,Tyrunt,Rock,Dragon,6
697,,,,Tyrantrum,Rock,Dragon,6
698,,,,Amaura,Rock,Ice,6
699,,,,Aurorus,Rock,Ice,6
700,,,,Sylveon,Fairy,,6
701,,,,Hawlucha,Fighting,Flying,6
702,,,,Dedenne,Electric,Fairy,6
703,,,,Carbink,Rock,Fairy,6
704,,,,Goomy,Dragon,,6
705,,,,Sliggoo,Dragon,,6
706,,,,Goodra,Dragon,,6
707,,,,Klefki,Steel,Fairy,6
708,,,,Phantump,Ghost,Grass,6
709,,,,Trevenant,Ghost,Grass,6
710,Average,,,Pumpkaboo,Ghost,Grass,6
710,Small,,,Pumpkaboo,Ghost,Grass,6
710,Large,,,Pumpkaboo,Ghost,Grass,6
710,Super,,,Pumpkaboo,Ghost,Grass,6
711,Average,,,Gourgeist,Ghost,Grass,6
711,Small,,,Gourgeist,Ghost,Grass,6
711,Super,,,Gourgeist,Ghost,Grass,6
711,Large,,,Gourgeist,Ghost,Grass,6
712,,,,Bergmite,Ice,,6
713,,,,Avalugg,Ice,,6
714,,,,Noibat,Flying,Dragon,6
715,,,,Noivern,Flying,Dragon,6
716,,,,Xerneas,Fairy,,6
717,,,,Yveltal,Dark,Flying,6
718,10,,,Zygarde (10% Forme),Dragon,Ground,6
718,50,,,Zygarde (50% Forme),Dragon,Ground,6
718,Complete,,,Zygarde (Complete Forme),Dragon,Ground,6
719,,TRUE,,Mega Diancie,Rock,Fairy,6
719,,,,Diancie,Rock,Fairy,6
720,Confined,,,Hoopa (Confined),Psychic,Ghost,6
720,Unbound,,,Hoopa (Unbound),Psychic,Dark,6
721,,,,Volcanion,Fire,Water,6
722,,,,Rowlet,Grass,Flying,7
723,,,,Dartrix,Grass,Flying,7
724,,,,Decidueye,Grass,Ghost,7
725,,,,Litten,Fire,,7
726,,,,Torracat,Fire,,7
727,,,,Incineroar,Fire,Dark,7
728,,,,Popplio,Water,,7
729,,,,Brionne,Water,,7
730,,,,Primarina,Water,Fairy,7
731,,,,Pikipek,Normal,Flying,7
732,,,,Trumbeak,Normal,Flying,7
733,,,,Toucannon,Normal,Flying,7
734,,,,Yungoos,Normal,,7
735,,,,Gumshoos,Normal,,7
736,,,,Grubbin,Bug,,7
737,,,,Charjabug,Bug,Electric,7
738,,,,Vikavolt,Bug,Electric,7
739,,,,Crabrawler,Fighting,,7
740,,,,Crabominable,Fighting,Ice,7
741,Pom-Pom,,,Oricorio (Pom-Pom Style),Electric,Flying,7
741,Baile,,,Oricorio (Baile Style),Fire,Flying,7
741,Pau,,,Oricorio (P'au Style),Psychic,Flying,7
741,Sensu,,,Oricorio (Sensu Style),Ghost,Flying,7
742,,,,Cutiefly,Bug,Fairy,7
743,,,,Ribombee,Bug,Fairy,7
744,,,,Rockruff,Rock,,7
745,Midday,,,Lycanroc (Midday Form),Rock,,7
745,Midnight,,,Lycanroc (Midnight Form),Rock,,7
746,Solo,,,Wishiwashi (Solo Form),Water,,7
746,School,,,Wishiwashi (School Form),Water,,7
747,,,,Mareanie,Water,Poison,7
748,,,,Toxapex,Water,Poison,7
749,,,,Mudbray,Ground,,7
750,,,,Mudsdale,Ground,,7
751,,,,Dewpider,Water,Bug,7
752,,,,Araquanid,Water,Bug,7
753,,,,Fomantis,Grass,,7
754,,,,Lurantis,Grass,,7
755,,,,Morelull,Grass,Fairy,7
756,,,,Shiinotic,Grass,Fairy,7
757,,,,Sandalit,Poison,Fire,7
758,,,,Salazzle,Poison,Fire,7
759,,,,Stufful,Normal,Fighting,7
760,,,,Bewear,Normal,Fighting,7
761,,,,Bounsweet,Grass,,7
762,,,,Steenee,Grass,,7
763,,,,Tsareena,Grass,,7
764,,,,Comfey,Fairy,,7
765,,,,Oranguru,Normal,Psychic,7
766,,,,Passimian,Fighting,,7
767,,,,Wimpod,Bug,Water,7
768,,,,Golisopod,Bug,Water,7
769,,,,Sandygast,Ghost,Ground,7
770,,,,Palossand,Ghost,Ground,7
771,,,,Pyukumuku,Water,,7
772,,,,Type: Null,Normal,,7
773,,,,Silvally,Normal,,7
774,Meteor,,,Minior (Meteor Form),Rock,Flying,7
774,Red,,,Minior (Core),Rock,Flying,7
775,,,,Komala,Normal,,7
776,,,,Turtonator,Fire,Dragon,7
777,,,,Togedemaru,Electric,Steel,7
778,,,,Mimikyu,Ghost,Fairy,7
779,,,,Bruxish,Water,Psychic,7
780,,,,Drampa,Normal,Dragon,7
781,,,,Dhelmise,Ghost,Grass,7
782,,,,Jangmo-o,Dragon,,7
783,,,,Hakamo-o,Dragon,Fighting,7
784,,,,Kommo-o,Dragon,Fighting,7
785,,,,Tapu Koko,Electric,Fairy,7
786,,,,Tapu Lele,Psychic,Fairy,7
787,,,,Tapu Bulu,Grass,Fairy,7
788,,,,Tapu Fini,Water,Fairy,7
789,,,,Cosmog,Psychic,,7
790,,,,Cosmoem,Psychic,,7
791,,,,Solgaleo,Psychic,Steel,7
792,,,,Lunala,Psychic,Ghost,7
793,,,,Nihilego,Rock,Poison,7
794,,,,Buzzwole,Bug,Fighting,7
795,,,,Pheromosa,Bug,Fighting,7
796,,,,Xurkitree,Electric,,7
797,,,,Celesteela,Steel,Flying,7
798,,,,Kartana,Grass,Steel,7
799,,,,Guzzlord,Dark,Dragon,7
800,,,,Necrozma,Psychic,,7
800,Dusk,,,Dusk Mane Necrozma,Psychic,Steel,7
800,Dawn,,,Dawn Wings Necrozma,Psychic,Ghost,7
800,Ultra,,,Ultra Necrozma,Psychic,Ghost,7
801,,,,Magearna,Steel,Fairy,7
802,,,,Marshadow,Fighting,Ghost,7
803,,,,Poipole,Poison,,7
804,,,,Nagandel,Poison,Dragon,7
805,,,,Stakataka,Rock,Steel,7
806,,,,Blacephalon,Fire,Ghost,7
807,,,,Zeraora,Electric,,7
808,,,,Meltan,Steel,,7
809,,,,Melmetal,Steel,,7
